Date : 2024-05-26 22:47:51
Directory : s:\Unity\Projects\FarmGamePrototype
Total : 118 files,  10118 codes, 3370 comments, 2388 blanks, all 15876 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\ThirdPersonController\Scripts\BasicRigidBodyPush.cs         | C#                      |         21 |          6 |          8 |         35 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\ThirdPersonController\Scripts\ThirdPersonController.cs      | C#                      |        277 |         42 |         73 |        392 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\TutorialInfo\Scripts\Editor\ReadmeEditor.cs                 | C#                      |        126 |          1 |         32 |        159 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Assets\StarterAssets\TutorialInfo\Scripts\Readme.cs                              | C#                      |         12 |          0 |          3 |         15 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Materials\SkyboxDual.shader                                                      | UnityShader             |        110 |          3 |         23 |        136 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftSystem\CraftRecipeObjectUI.cs                                       | C#                      |         22 |          0 |          3 |         25 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftSystem\CraftSystem.asmdef                                           | UnityAssemblyDefinition |         18 |          0 |          0 |         18 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftSystem\CraftSystem.cs                                               | C#                      |         50 |          0 |          7 |         57 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftSystem\Editor\RecipeDataEditor.cs                                   | C#                      |         46 |          6 |          9 |         61 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftSystem\RecipeData.cs                                                | C#                      |         12 |          0 |          3 |         15 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftSystem\RecipeDatabase.cs                                            | C#                      |         21 |          0 |          5 |         26 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftSystem\RecipeInfo.cs                                                | C#                      |         28 |          0 |          5 |         33 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\CraftTable.cs                                                            | C#                      |        113 |          0 |         14 |        127 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\FarmingSystem\Land.cs                                                    | C#                      |        124 |          0 |         22 |        146 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\FarmingSystem\PlantData.cs                                               | C#                      |         26 |          0 |          9 |         35 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\FarmingSystem\PlantedPlantController.cs                                  | C#                      |        117 |          0 |         20 |        137 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\GameMenu\MainMenuController.cs                                           | C#                      |         57 |          0 |         11 |         68 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\GameMenu\TabSystem.cs                                                    | C#                      |         44 |          0 |          6 |         50 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\DebugObjectTextMeshPro.cs                                   | C#                      |         31 |          5 |          4 |         40 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\FpsCounter.cs                                               | C#                      |         13 |          0 |          3 |         16 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\FpsCounterDispay.cs                                         | C#                      |         19 |          0 |          4 |         23 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\GameDebugger.cs                                             | C#                      |         28 |          0 |          5 |         33 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\General.asmdef                                              | UnityAssemblyDefinition |         17 |          0 |          0 |         17 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\IService.cs                                                 | C#                      |          7 |          0 |          2 |          9 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\Input\InputHandler.cs                                       | C#                      |        108 |          0 |         28 |        136 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\Input\PlayerControls.cs                                     | C#                      |        562 |         14 |         24 |        600 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\LightPreset.cs                                              | C#                      |          8 |          0 |          2 |         10 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\LookAtCamera.cs                                             | C#                      |         13 |          0 |          4 |         17 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\MonoObjectPool.cs                                           | C#                      |         58 |          0 |          6 |         64 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\Mouse.cs                                                    | C#                      |         32 |          0 |          7 |         39 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\ServiceLocator.cs                                           | C#                      |         45 |          0 |          9 |         54 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\ToolTipController.cs                                        | C#                      |         86 |          0 |         14 |        100 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\WindowsSystem\BaseWindow.cs                                 | C#                      |         32 |          0 |          9 |         41 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Base\WindowsSystem\WindowsManager.cs                             | C#                      |         79 |          0 |         11 |         90 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Concrete\WindowsSystem\CraftTableWindow.cs                       | C#                      |         48 |          0 |          9 |         57 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\Concrete\WindowsSystem\MenuWindow.cs                             | C#                      |          8 |          0 |          1 |          9 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\General\GameServiceLocator.cs                                            | C#                      |         54 |          0 |          8 |         62 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\Base\IInteraction.cs                                   | C#                      |          7 |          0 |          2 |          9 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\Base\InteractionButtonUI.cs                            | C#                      |         10 |          0 |          3 |         13 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\Base\InteractionSystem.asmdef                          | UnityAssemblyDefinition |         16 |          0 |          0 |         16 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\Base\Interactor.cs                                     | C#                      |         15 |          0 |          3 |         18 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\Base\Outline.cs                                        | C#                      |        193 |         39 |         78 |        310 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\DoorInteraction.cs                                     | C#                      |         31 |          0 |          6 |         37 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\InteractionList.cs                                     | C#                      |         72 |          0 |          9 |         81 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InteractionSystem\PlayerInteractor.cs                                    | C#                      |         54 |          0 |          9 |         63 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\Controller\InventoryController.cs                 | C#                      |        145 |          0 |         21 |        166 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\Interfaces\ISlotHolder.cs                         | C#                      |          7 |          0 |          4 |         11 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\InventorySystem.asmdef                            | UnityAssemblyDefinition |         17 |          0 |          0 |         17 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\Model\InventoryModel.cs                           | C#                      |        103 |          2 |          6 |        111 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\Model\InventorySlot.cs                            | C#                      |         51 |          0 |          8 |         59 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\Model\Items\ItemData.cs                           | C#                      |         24 |          0 |          3 |         27 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\Model\Items\ItemDatabase.cs                       | C#                      |         22 |          0 |          6 |         28 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\Model\MouseItemSlot.cs                            | C#                      |         64 |          0 |          9 |         73 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\UI\DropItemZone.cs                                | C#                      |         25 |          0 |          5 |         30 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\UI\HudDisplay.cs                                  | C#                      |         23 |          0 |          4 |         27 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\UI\InventoryDisplay.cs                            | C#                      |         46 |          0 |          7 |         53 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Base\UI\InventorySlotDisplay.cs                        | C#                      |         99 |          0 |         16 |        115 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Concrete\Controllers\PlayerHotbar.cs                   | C#                      |        103 |          0 |         16 |        119 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Concrete\Controllers\PlayerInventory.cs                | C#                      |         54 |          0 |          7 |         61 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Concrete\Model\Items\DefaultItemData.cs                | C#                      |          6 |          0 |          3 |          9 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Concrete\Model\Items\SeedItemData.cs                   | C#                      |         35 |          0 |          7 |         42 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\Concrete\Model\Items\ToolItemData.cs                   | C#                      |        106 |          6 |         12 |        124 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\IUsable.cs                                             | C#                      |          8 |          0 |          2 |         10 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\InventoryAndItems\InventoryTester.cs                                     | C#                      |         48 |          0 |         10 |         58 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Pets\Dog\Dog.cs                                                          | C#                      |         58 |          0 |         13 |         71 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Player\CameraRotation.cs                                                 | C#                      |         42 |         22 |          8 |         72 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Player\EntityAnimator.cs                                                 | C#                      |         48 |          0 |          8 |         56 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Player\PlayerController.cs                                               | C#                      |        108 |         11 |         21 |        140 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Time\Calendar.cs                                                         | C#                      |         92 |          0 |         13 |        105 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Time\CalendarFeastData.cs                                                | C#                      |         12 |          0 |          3 |         15 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Time\CalendarPanel.cs                                                    | C#                      |         48 |          0 |          9 |         57 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Time\DayNightController.cs                                               | C#                      |         43 |          2 |          8 |         53 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Time\LightController.cs                                                  | C#                      |         76 |          0 |         10 |         86 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Time\TimeDisplay.cs                                                      | C#                      |         23 |          0 |          5 |         28 |
| s:\Unity\Projects\FarmGamePrototype\Assets\App\Scripts\Time\TimeManager.cs                                                      | C#                      |        203 |          0 |         25 |        228 |
| s:\Unity\Projects\FarmGamePrototype\Assets\Resources\PerformanceTestRunInfo.json                                                | JSON                    |          1 |          0 |          0 |          1 |
| s:\Unity\Projects\FarmGamePrototype\Assets\Resources\PerformanceTestRunSettings.json                                            | JSON                    |          1 |          0 |          0 |          1 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl                                               | UnityShader             |        130 |         18 |         31 |        179 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                  | UnityShader             |        113 |          2 |         31 |        146 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                        | UnityShader             |        123 |          3 |         30 |        156 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                               | UnityShader             |        113 |          2 |         31 |        146 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                          | UnityShader             |        253 |          4 |         70 |        327 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                              | UnityShader             |        253 |          4 |         65 |        322 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                   | UnityShader             |        198 |         10 |         51 |        259 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                   | UnityShader             |        193 |          8 |         52 |        253 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                       | UnityShader             |         82 |          4 |         21 |        107 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader                                    | UnityShader             |        290 |         15 |         85 |        390 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                           | UnityShader             |        192 |          8 |         51 |        251 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                   | UnityShader             |        104 |          8 |         28 |        140 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                          | UnityShader             |        123 |          4 |         33 |        160 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                  | UnityShader             |        253 |          4 |         70 |        327 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                               | UnityShader             |        111 |          0 |         21 |        132 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                     | UnityShader             |         63 |          2 |         20 |         85 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                              | UnityShader             |        129 |          2 |         35 |        166 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                          | UnityShader             |         62 |          6 |         13 |         81 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                             | UnityShader             |         75 |          7 |         18 |        100 |
| s:\Unity\Projects\FarmGamePrototype\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                   | JSON                    |        155 |          0 |          2 |        157 |
| s:\Unity\Projects\FarmGamePrototype\ComputeCommandBuffer.cs                                                                     | C#                      |        175 |        637 |        167 |        979 |
| s:\Unity\Projects\FarmGamePrototype\IBaseCommandBuffer.cs                                                                       | C#                      |         85 |        229 |         78 |        392 |
| s:\Unity\Projects\FarmGamePrototype\IComputeCommandBuffer.cs                                                                    | C#                      |        103 |        427 |         94 |        624 |
| s:\Unity\Projects\FarmGamePrototype\ILowLevelCommandBuffer.cs                                                                   | C#                      |         75 |        360 |         67 |        502 |
| s:\Unity\Projects\FarmGamePrototype\IRasterCommandBuffer.cs                                                                     | C#                      |         61 |        304 |         52 |        417 |
| s:\Unity\Projects\FarmGamePrototype\LowLevelCommandBuffer.cs                                                                    | C#                      |        147 |        570 |        140 |        857 |
| s:\Unity\Projects\FarmGamePrototype\Packages\manifest.json                                                                      | JSON                    |         48 |          0 |          1 |         49 |
| s:\Unity\Projects\FarmGamePrototype\Packages\packages-lock.json                                                                 | JSON                    |        473 |          0 |          1 |        474 |
| s:\Unity\Projects\FarmGamePrototype\README.md                                                                                   | Markdown                |          1 |          0 |          0 |          1 |
| s:\Unity\Projects\FarmGamePrototype\RasterCommandBuffer.cs                                                                      | C#                      |        133 |        514 |        125 |        772 |
| Total                                                                                                                           |                         |     10,118 |      3,370 |      2,388 |     15,876 |
+---------------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
